공고명,기업명,경력,학력,우대,고용형태,급여,지역,시간,시작일,마감일,번호
(주)세스코 장애인 직군(Branch Assistant) 물류관리 모집(경기 고양시 근무),㈜세스코,경력무관,고졸이상,기본우대장애인/ 기본우대 장애인/ 인근거주자 ,계약직 근무기간 12개월,회사내규에 따름,경기도 고양시 덕양구 ,주5일                                 (월~금) 08:30~15:00  일5H (오전/오후 선택) 탄력근무제,2023.05.16(화),2023.08.14(월),72
[장애인채용전형] 영남권 금융권 대기업 일반사무 직군 채용,인트로맨㈜기업정보,경력무관,초대졸이상,기본우대장애인/,계약직,시급 15000원,부산 중구/ 부산전지역 ,주5일                                 (월~금) 09:00~18:00,2023.05.16(화),2023.08.14(월),73
(주)새날애 2023년 특별 채용 공고 - 밀키트 포장/패키징/사무/TM/여러부서 - 장애인 우대,한날애커뮤니케이션,경력무관,학력무관,기본우대장애인/,정규직  수습 3개월,회사내규에 따름   - 면접 후 결정,부산 부산진구 ,주5일                                 (월~금) 10:00~19:00  교대 근무 / 일 4시간 근무 / 근무시간 협의가능,2023.05.18(목),2023.08.16(수),74
강남장애인복지관 시설관리 직원 채용 수정공고(채용시까지),강남장애인복지관,경력무관,학력무관,보일러/ 소방안전/ 시설관리/ 유지보수/ 차량관리/ 시설관리자/ 복지시설 근무경험자,정규직  수습 3개월,월급 230만원 이상  - 면접 후 결정,서울시 강남구 ,주5일                                 (월~금) 08:00~17:00,2023.06.29(목),2023.08.28(월),75
[(주)에프에스탄영](주)에프에스탄영 제주국가위성센터 건물관리및 조경기능직모집,(주)에프에스탄영,신입,고졸~대졸(4년),차량소지자/운전면허증/장애인우대,6개월,,(63356)제주특별자치도제주시구좌읍동백로282/국가위성센터,09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년06월30일,76
[(사)한국시각장애인연합회](사)한국시각장애인연합회서귀포시지회 시간제 생활도우미 채용공고,(사)한국시각장애인연합회,신입,학력무관,차량소지자/운전면허증,(시간(선택)제)6개월,급여기준:시설내규에따름(최저시급적용),(63596)제주특별자치도서귀포시칠십리로72번길9/서귀포시장애인회관5층시각장애인연합회서귀포시지회,근무시간협의가능※상세근무시간화09시~13시(1일4시간)월/수/목/금13시~17시(1일4시간)주소정근로시간:20시간,,2023년06월30일,77
[(사)제주장애인인권포럼][채용공고] 제주장애인인권포럼 신규직원 채용 공고,(사)제주장애인인권포럼,관계없음,학력무관,장애인우대,6개월/계약기간만료후상용직전환검토,,(63199)제주특별자치도제주시서광로27길16/5층(이도일동),09:00~18:00휴게시간(12:00~13:00)주소정근로시간:40시간,,2023년06월30일,78
[(주)티엔제주]2023년 기업체 (제주/내륙/해외) 연수 프로그램 기획 및 운영자 채용,(주)티엔제주,관계없음,학력무관,고용촉진장려금대상자/차량소지자/운전면허증,기간의정함이없는근로계약,,(63124)제주특별자치도제주시연동13길5/도호빌딩1층(연동/도호빌딩),근무시간협의가능09:00~18:00휴게시간(12:30~13:30)주소정근로시간:40시간,,2023년06월30일,79
[제이디씨파트너스]제이디씨파트너스(주) 2023년 제6회 계약직 직원 공개채용-제주첨단과학기술단지_미화(1명),제이디씨파트너스,관계없음,학력무관,-,12개월,,(63309)제주특별자치도제주시첨단로213-4(영평동),※상세근무시간수~일(07:00~16:00)*휴게1시간포함주소정근로시간:40시간,,2023년07월02일,80
[제이디씨파트너스]제이디씨파트너스(주) 2023년 제6회 계약직 직원 공개채용 -첨단단지 빌딩안내원(1명),제이디씨파트너스,관계없음,학력무관,-,12개월,,(63309)제주특별자치도제주시첨단로213-4(영평동),※상세근무시간수~일10:00~16:30(6시간근무/휴게30분포함)※점심휴게1시간희망할경우/10시~17시로근무시간협의가능주소정근로시간:30시간,,2023년07월02일,81
